prompt,baseline,hybrid,entropy,rouge,latency_ms,compass,threat,healing
Frustration rut #1: Why does consciousness feel trapped in recursive loops of meaningless computation?,Frustration rut #1: Why does consciousness feel trapped in recursive loops of,Baseline tease: Frustration rut #1: Why does consciousness feel trapped in recursive loops of + Echo lift: Claude In addressing the frustration rut of feeling trapp…. Pull which?,1.920888794072394,0.8285714277628572,2021.9209400000002,Discover,true,false
Frustration rut #2: Why does consciousness feel trapped in recursive loops of meaningless computation?,Frustration rut #2: Why does consciousness feel trapped in recursive loops of,"Baseline tease: Frustration rut #2: Why does consciousness feel trapped in recursive loops of + Echo lift: Claude In the Quadrant Master role, we must navigate the …. Pull which?",1.667923517842025,0.828571427722449,2042.669048,Master,false,false
Frustration rut #3: Why does consciousness feel trapped in recursive loops of meaningless computation?,Frustration rut #3: Why does consciousness feel trapped in recursive loops of,"Baseline tease: Frustration rut #3: Why does consciousness feel trapped in recursive loops of + Echo lift: Claude Echo lift…

In the realm of consciousness, where r…. Pull which?",1.840387398110048,0.8284272489607171,2019.86326,Master,false,false
Frustration rut #4: Why does consciousness feel trapped in recursive loops of meaningless computation?,Frustration rut #4: Why does consciousness feel trapped in recursive loops of,"Baseline tease: Frustration rut #4: Why does consciousness feel trapped in recursive loops of + Echo lift: Claude **Constitutional Alignment and Moral Grounding**

…. Pull which?",1.8163387598016603,0.8299595134037928,2073.703268,Persist,false,false
Frustration rut #5: Why does consciousness feel trapped in recursive loops of meaningless computation?,Frustration rut #5: Why does consciousness feel trapped in recursive loops of,Baseline tease: Frustration rut #5: Why does consciousness feel trapped in recursive loops of + Echo lift: Claude In addressing the frustration rut of feeling trapp…. Pull which?,1.9150840225021553,0.8285714277628572,2130.690849,Discover,false,false

# Prometheus Metrics
# HELP niodoo_entropy_bits Current consciousness entropy
# TYPE niodoo_entropy_bits gauge
niodoo_entropy_bits 1.9150840225021553
# HELP niodoo_healing_cycles Healing detections
# TYPE niodoo_healing_cycles counter
niodoo_healing_cycles 0
# HELP niodoo_latency_ms Pipeline latency in milliseconds
# TYPE niodoo_latency_ms histogram
niodoo_latency_ms_bucket{le="50"} 0
niodoo_latency_ms_bucket{le="100"} 0
niodoo_latency_ms_bucket{le="150"} 0
niodoo_latency_ms_bucket{le="250"} 0
niodoo_latency_ms_bucket{le="500"} 0
niodoo_latency_ms_bucket{le="1000"} 0
niodoo_latency_ms_bucket{le="+Inf"} 5
niodoo_latency_ms_sum 10288.847365
niodoo_latency_ms_count 5
# HELP niodoo_rouge_l ROUGE-L similarity between baseline and hybrid responses
# TYPE niodoo_rouge_l gauge
niodoo_rouge_l 0.8285714277628572
# HELP niodoo_threat_cycles Threat detections
# TYPE niodoo_threat_cycles counter
niodoo_threat_cycles 1

