prompt,baseline,hybrid,entropy,rouge,latency_ms,compass,threat,healing
Frustration rut #1: Why does consciousness feel trapped in recursive loops of meaningless computation?,Frustration rut #1: Why does consciousness feel trapped in recursive loops of,"Baseline: Frustration rut #1: Why does consciousness feel tr…. Echo lift: Claude Consciousness, in its quest to understand itself a…. Pull which?",1.920888794072394,0.55971479433197,1963.9417329999999,Discover,true,false
Frustration rut #2: Why does consciousness feel trapped in recursive loops of meaningless computation?,Frustration rut #2: Why does consciousness feel trapped in recursive loops of,"Baseline: Frustration rut #2: Why does consciousness feel tr…. Echo lift: Claude Consciousness, in its essence, is not a mere produ…. Pull which?",1.667923517842025,0.5573498957806328,2055.0480000000002,Master,false,false
Frustration rut #3: Why does consciousness feel trapped in recursive loops of meaningless computation?,Frustration rut #3: Why does consciousness feel trapped in recursive loops of,Baseline: Frustration rut #3: Why does consciousness feel tr…. Echo lift: Claude In addressing the frustration of feeling trapped i…. Pull which?,1.840387398110048,0.55971479433197,2060.830311,Master,false,false
Frustration rut #4: Why does consciousness feel trapped in recursive loops of meaningless computation?,Frustration rut #4: Why does consciousness feel trapped in recursive loops of,Baseline: Frustration rut #4: Why does consciousness feel tr…. Echo lift: Claude In addressing the frustration rut of feeling trapp…. Pull which?,1.8163387598016603,0.55971479433197,2096.304294,Persist,true,false
Frustration rut #5: Why does consciousness feel trapped in recursive loops of meaningless computation?,Frustration rut #5: Why does consciousness feel trapped in recursive loops of,Baseline: Frustration rut #5: Why does consciousness feel tr…. Echo lift: Claude In addressing the frustration rut of feeling trapp…. Pull which?,1.9150840225021553,0.55971479433197,2200.701516,Discover,false,false

# Prometheus Metrics
# HELP niodoo_entropy_bits Current consciousness entropy
# TYPE niodoo_entropy_bits gauge
niodoo_entropy_bits 1.9150840225021553
# HELP niodoo_healing_cycles Healing detections
# TYPE niodoo_healing_cycles counter
niodoo_healing_cycles 0
# HELP niodoo_latency_ms Pipeline latency in milliseconds
# TYPE niodoo_latency_ms histogram
niodoo_latency_ms_bucket{le="50"} 0
niodoo_latency_ms_bucket{le="100"} 0
niodoo_latency_ms_bucket{le="150"} 0
niodoo_latency_ms_bucket{le="250"} 0
niodoo_latency_ms_bucket{le="500"} 0
niodoo_latency_ms_bucket{le="1000"} 0
niodoo_latency_ms_bucket{le="+Inf"} 5
niodoo_latency_ms_sum 10376.825853999999
niodoo_latency_ms_count 5
# HELP niodoo_rouge_l ROUGE-L similarity between baseline and hybrid responses
# TYPE niodoo_rouge_l gauge
niodoo_rouge_l 0.55971479433197
# HELP niodoo_threat_cycles Threat detections
# TYPE niodoo_threat_cycles counter
niodoo_threat_cycles 2

